527,334,552,334,555,357,527,357,English,El
233,303,327,301,327,336,233,337,Arabic,السمكية
330,307,395,300,399,337,330,338,Arabic,غليون
552,307,611,309,612,335,553,332,English,Burg
286,377,351,380,352,401,286,400,English,Farm
236,346,331,347,333,372,234,371,English,Ghalion
558,333,640,337,640,359,558,359,English,Burlas
239,258,300,260,300,296,239,294,Arabic,بركة
311,262,389,267,389,296,311,293,Arabic,مزرعة
525,266,593,260,594,294,524,302,Arabic,البرلس
409,274,466,274,465,295,409,296,Arabic,سعيد
473,275,513,275,513,297,473,298,Arabic,بور
407,309,457,309,457,331,407,331,English,Port
464,309,517,309,517,331,464,331,English,Said
346,349,400,349,400,371,346,371,English,Fish
598,274,636,275,637,298,597,301,Arabic,برج
