2001,1613,2148,1608,2159,1688,1998,1689,English,44
579,1622,625,1614,627,1648,579,1654,Arabic,احم
493,1620,575,1616,576,1645,494,1649,Arabic,نفسك
560,1575,625,1572,627,1603,560,1603,Arabic,حافظ
436,1577,511,1577,514,1606,435,1608,Arabic,مسافة
1144,889,2206,826,2237,1057,1165,1143,Arabic,مخبوزات
0,940,870,915,873,1183,1,1205,Arabic,حلويات
948,983,1094,956,1095,1140,967,1156,Arabic,و
1968,1493,2244,1479,2247,1508,1969,1520,English,PROMOTION
1982,1534,2037,1531,2037,1555,1981,1556,Arabic,تورتة
2041,1531,2100,1528,2098,1552,2042,1555,Arabic,ميني
1934,1565,1989,1562,1992,1583,1936,1587,English,Fruit
2077,1558,2146,1556,2147,1578,2081,1580,English,Small
1993,1565,2074,1565,2074,1583,1993,1583,English,Cream
383,1579,434,1575,435,1609,383,1610,Arabic,آمنة
518,1577,556,1575,558,1607,517,1612,Arabic,على
2275,1638,2315,1634,2318,1677,2277,1676,English,5
1980,1462,2226,1449,2229,1480,1981,1491,Arabic,تخفيضات
2192,1642,2229,1639,2232,1681,2194,1684,English,9
376,1627,489,1617,492,1655,376,1660,Arabic,والآخرين
