693,202,836,217,842,304,697,291,Arabic,###
599,620,681,623,683,648,599,650,Arabic,###
735,626,792,612,793,650,735,647,Arabic,###
574,578,644,580,644,610,573,606,Arabic,###
475,570,571,570,570,607,475,607,Arabic,###
734,303,845,312,853,380,740,375,Arabic,###
595,298,730,303,735,356,594,347,Arabic,###
480,290,592,290,588,363,480,355,Arabic,###
384,271,477,271,475,342,387,340,Arabic,###
534,193,680,180,686,286,534,286,Arabic,###
385,172,520,181,522,262,381,253,Arabic,###
632,87,758,95,766,191,639,179,Arabic,###
647,582,683,581,683,612,647,611,Arabic,###
684,625,731,622,732,648,684,650,Arabic,###
480,615,597,615,597,650,480,646,Arabic,###
749,579,792,579,793,612,746,615,Arabic,###
688,579,748,580,749,615,690,612,Arabic,###
491,81,624,82,630,177,498,165,Arabic,###
330,202,351,199,364,330,344,332,Arabic,###
