498,553,597,555,597,595,495,595,Arabic,المول
356,909,471,911,471,948,356,943,English,Parking
234,808,402,808,402,837,234,837,English,Automotive
943,753,1071,753,1070,790,943,796,Arabic,الطريق
567,604,638,603,634,639,564,640,English,Mall
459,853,559,855,559,897,457,896,Arabic,إنتظار
947,813,994,812,994,847,948,846,English,Rd
629,552,742,553,743,591,628,589,Arabic,مؤقت
304,963,440,961,440,998,305,1001,Arabic,كيدزانيا
409,805,478,807,478,837,408,837,English,Park
303,1012,440,1013,440,1045,304,1043,English,KidZania
749,552,854,550,853,591,745,591,Arabic,إنتظار
870,808,940,808,940,847,870,847,English,East
796,759,938,746,938,787,798,805,Arabic,الشرقي
331,851,452,859,453,892,328,894,Arabic,سيارات
197,849,299,851,298,889,197,896,Arabic,المول
309,748,501,744,500,798,308,792,Arabic,اوتوموتيف
285,908,349,907,349,942,284,943,English,Mall
644,605,775,603,774,636,641,643,English,Drop-Off
220,753,308,753,308,796,219,797,Arabic,بارك
