1996,3718,2438,3687,2446,3801,2004,3833,Arabic,مشروبات
2450,2280,2642,2252,2665,2413,2473,2440,English,100%
2461,1776,2726,1743,2749,1895,2482,1939,Arabic,استمتع
989,2162,1253,2181,1245,2226,986,2217,English,PREMIUM
743,3737,1366,3737,1384,3864,743,3871,English,beverages
597,2185,741,2170,733,2255,592,2274,Arabic,استمتع
2300,1923,2915,1889,2949,2133,2333,2177,Arabic,بالصحة
549,2458,667,2458,667,2558,549,2558,English,100%
495,2255,828,2255,829,2406,495,2396,Arabic,بالصحة
1010,2219,1243,2229,1243,2285,1012,2274,English,QUALITY
