186,1094,207,1094,207,1110,186,1110,Arabic,###
396,463,580,458,580,503,399,509,English,Mandoline
391,382,574,368,579,412,395,426,English,Mandolin
434,577,493,572,493,610,432,615,Arabic,اي
427,613,568,610,567,648,425,659,Arabic,حاجة
643,374,680,372,682,389,645,391,Arabic,جنيه
645,333,664,331,672,371,655,372,Arabic,1
371,530,505,520,510,558,372,572,Arabic,مندولين
516,527,611,522,610,554,519,557,Arabic,خدلك
411,659,586,652,588,709,414,718,Arabic,والتانية
494,571,559,567,555,611,493,611,Arabic,بين
325,536,283,540,285,559,323,555,Arabic,جنيه
279,496,310,494,314,534,285,537,Arabic,2
