808,241,1131,217,1141,371,793,392,Arabic,القلب
559,609,803,595,801,719,536,734,Arabic,أطفال
1098,633,1292,624,1295,759,1057,760,Arabic,هينقذ
1088,493,1210,487,1213,580,1076,571,Arabic,بالفكة
877,491,1023,480,1020,570,862,576,Arabic,فبراير
1155,264,1352,260,1351,366,1152,384,Arabic,من
288,223,657,210,710,381,284,375,Arabic,للقلب
1071,157,1256,150,1244,224,1066,225,Arabic,###
1264,135,1476,169,1476,240,1244,256,Arabic,مساهمتكم
363,609,563,571,521,733,341,738,Arabic,كتير
869,1812,1329,1806,1328,1859,867,1860,English,carrefouregypt.com
962,1767,1097,1759,1098,1792,962,1805,Arabic,الالكتروني
1101,1759,1196,1763,1197,1792,1103,1797,Arabic,موقعنا
1199,1765,1244,1763,1245,1789,1198,1796,Arabic,عبر
963,1725,1089,1720,1088,1753,964,1761,Arabic,التسوق
1091,1720,1187,1720,1190,1750,1092,1757,Arabic,طريق
1191,1720,1247,1722,1247,1747,1192,1755,Arabic,عن
355,1362,602,1359,601,1431,355,1430,English,19731
363,1315,461,1313,462,1347,365,1352,Arabic,الساخن
465,1311,533,1313,533,1342,463,1345,Arabic,الخط
537,1318,597,1313,598,1347,535,1351,Arabic,على
374,1267,472,1269,472,1302,376,1308,Arabic,الاتصال
478,1270,537,1272,537,1306,480,1307,Arabic,خلال
545,1275,586,1276,586,1301,545,1308,Arabic,من
726,1361,926,1361,926,1427,725,1428,English,9698
740,1321,856,1316,856,1349,740,1354,Arabic,رقم
861,1317,920,1314,918,1347,856,1353,Arabic,على
723,1270,805,1271,803,1304,724,1308,Arabic,"قلب"
808,1275,933,1266,933,1307,806,1311,Arabic,ارسل
1034,1370,1246,1359,1247,1418,1029,1422,Arabic,كارفور
1045,1320,1112,1319,1111,1351,1043,1358,Arabic,فروع
1119,1319,1175,1319,1175,1350,1119,1354,Arabic,###
1180,1323,1242,1319,1243,1351,1178,1359,Arabic,كل
1033,1274,1111,1275,1110,1304,1032,1303,Arabic,الفكة
1116,1280,1192,1274,1192,1311,1114,1315,Arabic,بباقي
1196,1279,1254,1274,1254,1308,1196,1315,Arabic,اتبرع
1030,478,1089,475,1066,589,1025,581,Arabic,في
1214,481,1378,475,1378,578,1214,602,Arabic,تبرعكم
812,612,1082,592,1054,735,815,770,Arabic,قلوب
