234,120,453,120,456,211,237,216,Arabic,بالكاميرات
407,534,467,533,467,567,408,568,Arabic,خدمة
552,529,621,529,622,567,553,568,Arabic,تحيات
626,536,651,536,653,568,627,570,Arabic,مع
286,441,343,441,343,469,286,469,English,24
417,436,544,435,545,464,417,465,English,VIDEO
349,441,411,441,411,465,349,467,English,HR
469,534,533,527,534,567,471,573,Arabic,قطاع
239,35,566,35,568,88,239,89,English,WARNING
451,116,581,117,580,208,456,212,Arabic,مراقب
283,373,544,373,544,425,283,428,English,CCTV
330,540,405,535,405,574,330,581,Arabic,المجتمع
177,544,247,543,247,581,177,581,Arabic,البيئة
249,537,327,539,327,577,250,578,Arabic,وتنمية
260,476,573,466,576,496,260,506,English,SURVEILLANCE
